era,b_same_region,b_same_income,b_log_gdp_ratio,p_same_region,p_same_income,R2
cold_war,0.03388048272263865,-0.0024070267284021785,-0.00043640724071747697,0.0016146382979021251,0.812463167243756,0.21977911920928495
post_cw,0.011115288454693862,0.04687023959355696,-0.007515858141656949,0.12665480227336504,3.5659657478185367e-09,0.33806702313214254
post_9_11,0.011215748445525989,0.01270267353024146,-0.012960413368323358,0.15714108554585166,0.10780567200391794,0.06460275353700151
recent,0.0140150227111311,0.023756329501163326,-0.0030000754498470707,0.061740760621578045,0.001891078380832999,0.15374211276640204
